Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
8700, 1,0.0004077, 0.000182522, 0.000124418, 25.7002, 11.3721, 0.00263801, 163.678, -52.3538, 0, 0.0009694, 0.000590095, 0.000395272, 37.0273, -12.4523, 0, 0.000968773, 0.000225525, 0.000152612, 14.4518, -5.17214, 0, 0.000968658, 0.226314, 0.93497, 36.1956, 0.208774, 1.61897, 13.6887, -0.000191147, -0.000186046, 0.000579205, -7.68759E-05, -7.68759E-05, -7.68759E-05
8701, 1,0.00118043, 0.000299488, 0.000200672, 74.2265, 19.027, 0.00522136, 326.867, -107.54, 0, 0.00107102, 0.00147981, 0.000982613, 93.2445, -31.6425, 0, 0.00106971, 0.000881122, 0.000589775, 55.2148, -18.7231, 0, 0.00106948, 0.686671, 6.00149, 88.2393, 0.666062, 3.5025, 52.0008, -0.000483601, -0.00039487, 0.00139185, -0.000280828, -0.000280828, -0.000280828
8702, 1,0.000948549, 0.00026679, 0.000178722, 59.4744, 16.9017, 0.00457185, 281.339, -87.5984, 0, 0.00103716, 0.00121524, 0.000814928, 76.3478, -25.7733, 0, 0.00103612, 0.000681944, 0.000460039, 42.6238, -14.3865, 0, 0.00103593, -0.382419, 6.10732, 71.5951, -0.366272, 4.1559, 39.37, -0.000413664, -0.000299908, 0.00113172, -0.000234125, -0.000234125, -0.000234125
8703, 1,0.000703414, 0.0002276, 0.00015239, 44.0572, 14.3838, 0.0038595, 237.958, -74.5658, 0, 0.00100346, 0.00093067, 0.000625989, 58.3941, -19.7069, 0, 0.00100257, 0.000476493, 0.000324198, 29.767, -10.0836, 0, 0.00100241, -0.479514, 4.39886, 55.2012, -0.478392, 3.21627, 27.513, -0.000320261, -0.000236726, 0.000876705, -0.000168739, -0.000168739, -0.000168739
8704, 1,0.00044082, 0.00018976, 0.000128844, 28.0132, 11.8452, 0.00312439, 195.379, -64.0587, 0, 0.00096985, 0.000630344, 0.000420053, 39.798, -13.6942, 0, 0.000969058, 0.000251675, 0.000168548, 16.327, -6.06547, 0, 0.000968938, 0.605257, 1.59645, 38.8808, 0.593524, 2.18932, 15.4136, -0.000202752, -0.000193371, 0.000618286, -8.28822E-05, -8.28822E-05, -8.28822E-05
8705, 1,0.00121168, 0.000312445, 0.000209563, 76.3599, 19.8695, 0.00587191, 367.074, -120.249, 0, 0.00107137, 0.00152396, 0.00101187, 96.222, -32.8648, 0, 0.00106985, 0.000899513, 0.000599868, 56.5031, -19.3323, 0, 0.00106961, 0.835097, 6.3263, 91.433, 0.814423, 3.67114, 53.5113, -0.000499712, -0.000408214, 0.00144114, -0.000287317, -0.000287317, -0.000287317
8706, 1,0.00098128, 0.000278697, 0.000186851, 61.5616, 17.6708, 0.00516588, 317.066, -97.8662, 0, 0.00103748, 0.00125992, 0.000845762, 79.2074, -26.8349, 0, 0.00103628, 0.000702682, 0.000474786, 43.9361, -14.8982, 0, 0.00103608, -0.352012, 6.26925, 74.5874, -0.316709, 4.20175, 40.8095, -0.000429813, -0.000314661, 0.00117985, -0.000241234, -0.000241234, -0.000241234
8707, 1,0.000738336, 0.000237344, 0.000158941, 46.2668, 15.0173, 0.00442153, 271.104, -83.4058, 0, 0.00100378, 0.00097536, 0.000654893, 61.2382, -20.7682, 0, 0.00100276, 0.00050162, 0.000339321, 31.3404, -10.6851, 0, 0.0010026, -0.341134, 4.5503, 58.0955, -0.333465, 3.27119, 29.1175, -0.000334174, -0.000251963, 0.000923075, -0.00017528, -0.00017528, -0.00017528
8708, 1,0.00047171, 0.00019672, 0.000133008, 29.9394, 12.3038, 0.00364885, 227.933, -74.5144, 0, 0.000970215, 0.000668194, 0.000445193, 42.1801, -14.5584, 0, 0.000969271, 0.000275579, 0.000184422, 17.7954, -6.58557, 0, 0.000969146, 0.655391, 1.74264, 41.2771, 0.653133, 2.23257, 16.871, -0.000215395, -0.000205158, 0.000656736, -8.9915E-05, -8.9915E-05, -8.9915E-05
8709, 1,0.00124448, 0.000325245, 0.000218353, 78.6132, 20.7026, 0.00653066, 410.104, -136.248, 0, 0.00107189, 0.00156949, 0.00104298, 99.3098, -34.1159, 0, 0.00107011, 0.000919629, 0.000611409, 57.921, -19.9725, 0, 0.00106986, 0.974091, 6.5943, 94.7794, 0.950345, 3.80028, 55.1669, -0.000516479, -0.000422346, 0.00149234, -0.000294567, -0.000294567, -0.000294567
8710, 1,0.0010123, 0.00029043, 0.000194945, 63.5883, 18.4311, 0.00578455, 352.978, -106.829, 0, 0.00103788, 0.00130273, 0.000876004, 82.002, -27.9365, 0, 0.00103655, 0.000721884, 0.000488721, 45.189, -15.4491, 0, 0.00103634, -0.346014, 6.45835, 77.6971, -0.28692, 4.27019, 42.364, -0.000447071, -0.000329042, 0.00122936, -0.000249345, -0.000249345, -0.000249345
8711, 1,0.000764041, 0.00024678, 0.00016542, 47.9579, 15.6364, 0.00505997, 307.874, -92.269, 0, 0.00100419, 0.0010106, 0.000678332, 63.5606, -21.7182, 0, 0.00100304, 0.000517703, 0.000349589, 32.3886, -11.1738, 0, 0.00100287, -0.176966, 4.6228, 60.7087, -0.159144, 3.22382, 30.4568, -0.000345795, -0.000266423, 0.00096457, -0.000179433, -0.000179433, -0.000179433
8712, 1,0.000502411, 0.000203461, 0.000136975, 32.1202, 12.7522, 0.00429679, 266.962, -85.8399, 0, 0.000970676, 0.000705688, 0.000468454, 44.8116, -15.6941, 0, 0.000969572, 0.000299392, 0.000198881, 19.5171, -7.37972, 0, 0.000969441, 0.994021, 2.11463, 43.9737, 1.00159, 2.49369, 18.6439, -0.000226248, -0.000215025, 0.000695882, -9.51913E-05, -9.51913E-05, -9.51913E-05
8713, 1,0.00126244, 0.000337322, 0.000226729, 80.3938, 21.5031, 0.00731874, 448.437, -137.711, 0, 0.00107208, 0.00159921, 0.00106462, 101.893, -35.7779, 0, 0.00107031, 0.000926067, 0.000612227, 58.8967, -21.0219, 0, 0.00107005, 1.59589, 7.71205, 98.0258, 1.54779, 4.74139, 56.7765, -0.000529337, -0.000425666, 0.00153549, -0.000298366, -0.000298366, -0.000298366
8714, 1,0.0010455, 0.000302163, 0.000203091, 65.9616, 19.1926, 0.00657889, 394.241, -111.83, 0, 0.00103814, 0.00134765, 0.000907457, 85.1424, -29.4186, 0, 0.00103675, 0.000743355, 0.000503885, 46.7907, -16.3778, 0, 0.00103653, -0.0520335, 7.11327, 81.1947, 0.037119, 4.81327, 44.2829, -0.00046423, -0.000340263, 0.00128179, -0.000257198, -0.000257198, -0.000257198
8715, 1,0.000800047, 0.000256178, 0.000171834, 50.2887, 16.2543, 0.00592729, 358.594, -105.344, 0, 0.00100458, 0.00105592, 0.000707033, 66.5083, -22.8535, 0, 0.00100324, 0.000544463, 0.000364838, 34.1027, -11.8471, 0, 0.00100306, 0.0988457, 4.65217, 63.8095, 0.11124, 3.16212, 32.2678, -0.000358026, -0.000284829, 0.00101363, -0.000184514, -0.000184514, -0.000184514
8716, 1,0.000544223, 0.000209761, 0.00014055, 34.8265, 13.1813, 0.00528421, 326.788, -103.541, 0, 0.000971188, 0.000753931, 0.000502154, 47.9674, -16.8457, 0, 0.000969823, 0.00033458, 0.000223131, 21.7386, -8.19049, 0, 0.000969687, 1.31232, 1.90744, 47.3173, 1.32584, 2.15154, 21.0941, -0.000237809, -0.000236604, 0.000747709, -0.000101277, -0.000101277, -0.000101277
8717, 1,0.00129854, 0.000350199, 0.000235635, 83.0767, 22.3624, 0.0107704, 463.061, -150.814, 0.0666623, 0.00107265, 0.00164813, 0.0010878, 105.433, -37.5251, 0, 0.00107058, 0.000949387, 0.000627096, 60.7243, -22.1505, 0, 0.00107031, 2.95693, 8.13368, 101.485, 2.93303, 5.08923, 58.4291, -0.00052744, -0.0004527, 0.00158898, -0.000286401, -0.000286401, -0.000286401
8718, 1,0.00103995, 0.00031333, 0.000210877, 64.9764, 19.9353, 0.00843603, 437.678, -114.251, 0.0195321, 0.00103844, 0.00135309, 0.000915297, 84.9082, -29.2224, 7.2876E-07, 0.00103699, 0.000726978, 0.000494573, 45.0476, -15.6237, 7.2876E-07, 0.00103676, -0.812548, 6.90665, 81.573, -0.719846, 4.46572, 43.1254, -0.000477337, -0.000349501, 0.00130096, -0.000261552, -0.000261552, -0.000261552
8719, 1,0.000815844, 0.000265063, 0.000178041, 50.8939, 16.8505, 0.00716424, 416.997, -105.237, 0, 0.00100485, 0.00108032, 0.000733175, 67.7144, -23.2366, 0, 0.00100352, 0.00055192, 0.000379131, 34.1027, -11.7652, 0, 0.00100333, -0.904796, 5.11788, 65.4967, -0.901703, 3.48879, 32.7084, -0.000385635, -0.000285169, 0.0010478, -0.000205036, -0.000205036, -0.000205036
8720, 1,0.000571127, 0.000215797, 0.000143994, 37.0269, 13.5969, 0.00656141, 398.461, -118.681, 0, 0.000971673, 0.000786759, 0.000519737, 50.6039, -18.4074, 0, 0.000970093, 0.000355705, 0.000233011, 23.4753, -9.41441, 0, 0.000969952, 2.52561, 2.50911, 50.1874, 2.54878, 2.59278, 23.1017, -0.000237064, -0.000248504, 0.000784204, -9.50248E-05, -9.50248E-05, -9.50248E-05
8721, 1,0.00135579, 0.000361636, 0.00024395, 84.1248, 23.1694, 0.0169889, 467.81, -151.655, 0.187071, 0.00107303, 0.00171588, 0.00114656, 107.281, -36.0757, 0, 0.00107071, 0.000996796, 0.000674053, 60.9782, -20.0809, 0, 0.00107043, -0.44193, 4.92255, 103.747, -0.436808, 1.74294, 58.9365, -0.000575734, -0.00051271, 0.00167376, -0.000324536, -0.000324536, -0.000324536
8722, 1,0.00111863, 0.000325021, 0.000219017, 67.7609, 20.7298, 0.0142313, 461.017, -143.051, 0.133285, 0.00103929, 0.00144359, 0.00097672, 88.4621, -29.1476, 0, 0.00103718, 0.000793719, 0.000547502, 47.0839, -14.9819, 0, 0.00103694, -1.83629, 4.70636, 84.5729, -1.70516, 2.25837, 44.3924, -0.000497481, -0.00041988, 0.00139026, -0.000272167, -0.000272167, -0.000272167
8723, 1,0.00087336, 0.000274667, 0.000184847, 52.5546, 17.5027, 0.011542, 453.275, -133.57, 0.0806438, 0.00100562, 0.00114766, 0.000775604, 70.0293, -22.9182, 0, 0.00100372, 0.000599388, 0.000406765, 35.1066, -10.9724, 0, 0.00100352, -1.89928, 2.91803, 67.7358, -1.83944, 1.21485, 33.5417, -0.000402441, -0.000344591, 0.00111886, -0.000213321, -0.000213321, -0.000213321
8724, 1,0.000580189, 0.000221859, 0.000147836, 37.4116, 14.0216, 0.00944164, 453.181, -135.845, 0.0397043, 0.000972256, 0.000802031, 0.000529792, 51.3801, -18.719, 0, 0.000970361, 0.00035837, 0.000235152, 23.5148, -9.38757, 0, 0.000970215, 1.95027, 3.35449, 50.8522, 1.9563, 3.31949, 22.8869, -0.00025472, -0.000241315, 0.000799727, -0.000107784, -0.000107784, -0.000107784
8725, 1,0.00139551, 0.000371545, 0.000251112, 86.1548, 23.8953, 0.0251509, 481.284, -167.972, 0.344088, 0.00107382, 0.00176481, 0.00118868, 110.045, -36.9071, 0, 0.00107085, 0.00102778, 0.0006937, 62.2691, -20.3035, 0, 0.00107056, -1.61722, 5.58111, 106.757, -1.66409, 2.2422, 60.3325, -0.000612355, -0.000524422, 0.00173557, -0.000352781, -0.000352781, -0.000352781
8726, 1,0.00122145, 0.000334436, 0.00022636, 71.9235, 21.4273, 0.0223664, 478.577, -165.535, 0.291189, 0.00104021, 0.0015545, 0.00106761, 93.3452, -29.7232, 0, 0.00103738, 0.000889393, 0.000629162, 50.506, -14.9789, 0, 0.00103714, -4.22469, 2.83, 90.5642, -4.03537, 0.166381, 48.8057, -0.000557136, -0.000489123, 0.00152849, -0.000321676, -0.000321676, -0.000321676
8727, 1,0.00093453, 0.000283025, 0.000191306, 53.6371, 18.1144, 0.0187961, 473.047, -159.556, 0.222852, 0.00100656, 0.00121669, 0.000841972, 71.7411, -22.0552, -8.47033E-22, 0.00100395, 0.000653026, 0.000477667, 35.5425, -9.62423, -8.47033E-22, 0.00100375, -2.62589, -1.11533, 69.9067, -2.47646, -2.99396, 34.3431, -0.000404957, -0.000439075, 0.00120185, -0.000206602, -0.000206602, -0.000206602
8728, 1,0.000615698, 0.000227347, 0.000151863, 39.1248, 14.4318, 0.015522, 471.588, -159.261, 0.159301, 0.000973109, 0.000842963, 0.000561858, 53.4267, -19.5367, 5.42101E-20, 0.00097066, 0.00038853, 0.000258558, 24.996, -9.87466, 5.42101E-20, 0.000970508, 1.53036, 4.33464, 52.7451, 1.569, 4.13146, 23.9235, -0.000276982, -0.000247812, 0.000841749, -0.000124371, -0.000124371, -0.000124371
8729, 1,0.00137063, 0.000378374, 0.000256408, 84.7136, 24.4465, 0.0314689, 487.014, -173.746, 0.462915, 0.0010743, 0.00174508, 0.00117084, 109.158, -37.1841, 0, 0.00107087, 0.000998976, 0.000675718, 60.2701, -19.9959, 0, 0.00107057, -0.64267, 5.5968, 106.598, -0.799918, 1.93564, 58.852, -0.000594918, -0.000531195, 0.00172936, -0.000328406, -0.000328406, -0.000328406
8730, 1,0.00125368, 0.000343972, 0.00023388, 76.095, 22.1177, 0.0292398, 492.054, -183.504, 0.422158, 0.00104095, 0.00159409, 0.00108482, 98.2021, -34.0165, 0, 0.00103748, 0.000915886, 0.00062736, 53.9967, -18.6721, 0, 0.00103722, -1.74504, 7.4878, 96.3068, -1.49378, 4.51656, 52.9936, -0.000572297, -0.000460073, 0.00158425, -0.000326173, -0.000326173, -0.000326173
8731, 1,0.00101042, 0.000289852, 0.000196576, 58.3172, 18.644, 0.0258359, 483.13, -171.313, 0.357871, 0.00100722, 0.00129806, 0.000893655, 76.942, -24.4083, 0, 0.00100412, 0.00072438, 0.000520983, 39.7095, -11.4734, 0, 0.00100391, -3.39528, 0.998633, 75.6215, -3.27144, -1.15102, 38.8426, -0.000458248, -0.000437753, 0.00129199, -0.000252737, -0.000252737, -0.000252737
8732, 1,0.000644669, 0.000232519, 0.000156254, 38.7592, 14.809, 0.0216145, 473.991, -158.667, 0.276641, 0.000973661, 0.000875693, 0.00059069, 53.2302, -17.4812, 0, 0.000970977, 0.00041533, 0.000286582, 24.6763, -7.50714, 0, 0.000970819, -0.728593, 0.99468, 52.1775, -0.559518, 0.514606, 22.5663, -0.000292166, -0.000295724, 0.000871483, -0.000132196, -0.000132196, -0.000132196
8733, 1,0.00143142, 0.000382702, 0.000260522, 90.113, 24.835, 0.033636, 480.191, -161.181, 0.501918, 0.00107426, 0.00181031, 0.001214, 114.946, -40.6555, 0, 0.00107107, 0.00105513, 0.000712073, 65.282, -22.945, 0, 0.00107077, 1.0586, 7.95844, 112.949, 0.861737, 3.85649, 64.1167, -0.000613529, -0.00052779, 0.00180086, -0.000339508, -0.000339508, -0.000339508
8734, 1,0.00121077, 0.000352839, 0.000240952, 73.4748, 22.7628, 0.0318145, 480.145, -162.277, 0.468357, 0.00104082, 0.00156033, 0.00105385, 96.2204, -33.1146, 0, 0.00103767, 0.000863778, 0.000586847, 50.7442, -17.1536, 0, 0.0010374, -1.18739, 6.00716, 94.5241, -0.895093, 2.67337, 49.6826, -0.000545594, -0.000471485, 0.00155429, -0.000288848, -0.000288848, -0.000288848
8735, 1,0.00107868, 0.000295312, 0.000201201, 63.2422, 19.1021, 0.0298157, 481.585, -165.654, 0.431365, 0.00100764, 0.0013695, 0.000935026, 82.3083, -27.506, 0, 0.00100453, 0.000790998, 0.000541345, 44.2053, -14.0396, 0, 0.00100431, -2.99247, 3.86432, 81.6461, -2.91637, 1.2583, 43.7768, -0.000497663, -0.000423343, 0.00136724, -0.000284873, -0.000284873, -0.000284873
8736, 1,0.000675845, 0.000233843, 0.00015818, 40.1222, 14.9693, 0.0261125, 477.822, -161.758, 0.361996, 0.000974448, 0.000907113, 0.000620429, 54.672, -17.9311, 0, 0.000971531, 0.000447268, 0.000315557, 26.0315, -7.693, 0, 0.00097137, -1.32874, 1.35408, 53.768, -1.10989, 0.35105, 23.8378, -0.000311762, -0.000298013, 0.00090066, -0.000146751, -0.000146751, -0.000146751
8737, 1,0.00139993, 0.000381155, 0.00026108, 87.4765, 24.8916, 0.0334497, 479.255, -159.547, 0.498178, 0.00107448, 0.00177525, 0.00119889, 112.351, -39.8488, 0, 0.00107133, 0.00102862, 0.000688263, 62.6143, -21.7255, 0, 0.00107101, 0.228175, 7.80917, 111.509, -0.0667696, 2.98489, 62.2583, -0.00061893, -0.000507084, 0.00177246, -0.000340375, -0.000340375, -0.000340375
8738, 1,0.00127236, 0.000358274, 0.000245823, 81.6353, 23.2378, 0.0319131, 480.272, -162.215, 0.469955, 0.00104111, 0.00162721, 0.00109807, 104.851, -40.11, 0, 0.00103807, 0.000920209, 0.00061445, 58.4389, -23.5084, 0, 0.00103779, 2.95875, 13.5656, 103.806, 3.14166, 9.65601, 57.7276, -0.000567876, -0.000406891, 0.00162547, -0.000303139, -0.000303139, -0.000303139
8739, 1,0.00109437, 0.000298397, 0.000204132, 66.678, 19.4496, 0.0304743, 481.95, -165.71, 0.443403, 0.00100797, 0.00138571, 0.000931342, 86.032, -31.5408, 0, 0.00100489, 0.000807915, 0.000541778, 47.4035, -17.4988, 0, 0.00100466, 1.20344, 7.68798, 85.7308, 1.09651, 4.42422, 46.9758, -0.000471113, -0.000394359, 0.00137715, -0.000253029, -0.000253029, -0.000253029
8740, 1,0.000694782, 0.00023271, 0.00015867, 43.0304, 14.9892, 0.0283985, 482.329, -167.448, 0.404938, 0.000975094, 0.00092137, 0.000635907, 57.2145, -20.135, 0, 0.000971995, 0.00047416, 0.000335384, 29.6235, -9.68603, 0, 0.00097183, -0.571687, 5.08218, 55.8945, -0.309179, 3.34179, 26.0255, -0.000329744, -0.000251169, 0.000907542, -0.000160572, -0.000160572, -0.000160572
8741, 1,0.00132416, 0.000378674, 0.000260315, 85.6682, 24.7366, 0.0326902, 474.139, -151.595, 0.483735, 0.00107469, 0.00169691, 0.00112431, 110.377, -42.5836, 0, 0.00107181, 0.000955822, 0.000624202, 60.9822, -24.4678, 0, 0.0010715, 5.81987, 11.8566, 110.074, 5.55235, 6.93562, 60.9154, -0.000544643, -0.000459551, 0.00169504, -0.000265367, -0.000265367, -0.000265367
8742, 1,0.00121239, 0.000360863, 0.000247354, 77.7035, 23.4729, 0.0315987, 471.259, -147.492, 0.463227, 0.00104114, 0.00156984, 0.00108087, 101.176, -38.5587, 0, 0.00103844, 0.000857916, 0.000592424, 54.2322, -21.5737, 0, 0.00103815, 0.738559, 14.1062, 100.831, 0.561153, 10.1044, 54.0557, -0.000590307, -0.000353597, 0.00156945, -0.00032693, -0.00032693, -0.00032693
8743, 1,0.00104127, 0.000302584, 0.000207133, 65.0889, 19.7513, 0.0298243, 470.782, -147.535, 0.430058, 0.00100799, 0.00133416, 0.000911142, 84.7331, -33.044, 0, 0.00100536, 0.000755967, 0.0005106, 45.5493, -18.6503, 0, 0.00100512, 1.76095, 12.7838, 84.5873, 1.55341, 9.29429, 45.1032, -0.000482097, -0.000292263, 0.00131044, -0.000260356, -0.000260356, -0.000260356
8744, 1,0.000591128, 0.000227695, 0.000155333, 40.0166, 14.6955, 0.0273496, 473.85, -154.172, 0.384448, 0.000975278, 0.000815618, 0.000526585, 54.2929, -24.0826, 0, 0.000972557, 0.000371307, 0.000236556, 26.3198, -13.7247, 0, 0.000972393, 7.94237, 10.3905, 53.915, 8.10686, 8.16222, 24.905, -0.000209495, -0.000193897, 0.00079408, -4.36577E-05, -4.36577E-05, -4.36577E-05
8745, 1,0.00141287, 0.000381889, 0.000261004, 89.1701, 24.9117, 0.0357347, 470.758, -144.916, 0.539733, 0.00107503, 0.0017916, 0.00120519, 114.068, -41.104, 0, 0.00107214, 0.00103633, 0.000691428, 64.2833, -22.8443, 0, 0.00107182, 2.1133, 7.87099, 113.328, 1.37491, 3.21174, 63.9463, -0.000599163, -0.000522244, 0.00178826, -0.000327393, -0.000327393, -0.000327393
8746, 1,0.00127019, 0.000365737, 0.000249513, 84.2587, 23.8394, 0.0334374, 474.802, -156.81, 0.500897, 0.0010418, 0.00163162, 0.00107847, 108.035, -43.3167, 0, 0.00103885, 0.000912327, 0.000588992, 60.5387, -25.884, 0, 0.00103856, 7.95422, 14.2837, 107.712, 7.0827, 10.4126, 60.1566, -0.000513164, -0.000411336, 0.00162727, -0.000257253, -0.000257253, -0.000257253
8747, 1,0.00102631, 0.000304116, 0.00020483, 69.6575, 19.9681, 0.0317628, 476.115, -158.929, 0.469318, 0.00100868, 0.00132381, 0.000886775, 89.486, -38.514, 0, 0.00100579, 0.00073471, 0.000489288, 49.9574, -23.6587, 0, 0.00100555, 8.74172, 17.7903, 89.0099, 7.61133, 14.2885, 49.0763, -0.000419006, -0.000259891, 0.00130374, -0.000209364, -0.000209364, -0.000209364
8748, 1,0.000827039, 0.00022432, 0.00015315, 50.8869, 14.5738, 0.0309158, 464.552, -138.077, 0.450723, 0.000975484, 0.00104594, 0.000732803, 64.9726, -23.2541, 0, 0.000972935, 0.000611961, 0.000449701, 37.1306, -12.7442, 0, 0.000972769, 1.54272, 3.68471, 64.5348, 1.42351, 0.964982, 35.8442, -0.000330207, -0.000322845, 0.00103031, -0.000167924, -0.000167924, -0.000167924
8749, 1,0.00152612, 0.000433747, 0.000304721, 98.0995, 26.4321, 0.0381191, 475.47, -153.907, 0.586787, 0.00107639, 0.00195568, 0.00138812, 124.422, -43.9975, 0, 0.00107316, 0.00110012, 0.000791673, 71.8764, -28.1558, 0, 0.00107289, 13.0743, -3.08535, 122.003, 13.8637, 0.186635, 70.4171, -0.000414078, -0.000795322, 0.00192322, -0.000147801, -0.000147801, -0.000147801
8750, 1,0.00137362, 0.000397602, 0.000283788, 83.6199, 24.2376, 0.0355533, 465.445, -141.204, 0.542191, 0.00104278, 0.00177019, 0.00124046, 107.835, -33.0346, 0, 0.00103992, 0.00097787, 0.000679849, 59.4224, -18.5032, 0, 0.00103967, -0.305066, -7.54587, 106.955, -0.259711, -3.03648, 58.8059, -0.00052471, -0.000701675, 0.00176231, -0.000295035, -0.000295035, -0.000295035
8751, 1,0.0010879, 0.000345938, 0.000246296, 68.3562, 20.8106, 0.0340877, 471.765, -150.83, 0.514039, 0.00100989, 0.00143097, 0.00101021, 88.9515, -28.9325, 0, 0.00100691, 0.000747525, 0.000541763, 47.983, -17.0499, 0, 0.00100671, 1.70884, -2.9929, 88.0815, 2.62934, 1.98687, 46.5333, -0.000417501, -0.000535492, 0.00142236, -0.000211157, -0.000211157, -0.000211157
8752, 1,0.000883655, 0.000247559, 0.000183294, 56.1694, 14.5729, 0.0329437, 485.264, -172.407, 0.492942, 0.00097744, 0.00111863, 0.00081367, 70.1381, -24.4633, 0, 0.000974061, 0.000658583, 0.000465657, 42.6907, -16.865, 0, 0.000973941, 9.72394, -3.88051, 67.5466, 10.602, 1.56318, 38.4298, -0.000173949, -0.000490987, 0.00106182, -3.641E-05, -3.641E-05, -3.641E-05
8753, 1,0.00136167, 0.000200217, 0.000144891, 89.0534, 12.4957, 0.0347739, 470.224, -147.233, 0.525573, 0.00112242, 0.00155619, 0.00105708, 101.122, -37.5619, 0, 0.00111931, 0.00116923, 0.000781309, 77.138, -29.4466, 0, 0.00111916, 7.14644, 6.93911, 98.6001, 6.69303, 7.91234, 73.7345, -0.000436217, -0.000478847, 0.00152448, -0.000318141, -0.000318141, -0.000318141
8754, 1,0.00103666, 0.000288056, 0.000199662, 66.5421, 18.1822, 0.0336828, 456.717, -128.153, 0.507094, 0.00108656, 0.00132463, 0.000896779, 84.6459, -30.1556, 0, 0.00108395, 0.000748747, 0.000499541, 48.5021, -17.9085, 0, 0.00108373, 3.16866, 3.2243, 84.0738, 2.18879, 3.80166, 47.7349, -0.000406554, -0.000426321, 0.00132209, -0.000234367, -0.000234367, -0.000234367
8755, 1,0.000751034, 0.000347737, 0.000236711, 48.1421, 22.0593, 0.0332628, 456.773, -127.62, 0.4983, 0.0010514, 0.00109505, 0.000747016, 70.1846, -25.5277, 0, 0.00104882, 0.000413681, 0.000309231, 26.1264, -10.4383, 0, 0.00104856, 2.19862, 4.45424, 69.9303, 0.78359, 4.41993, 26.1113, -0.000354728, -0.000324398, 0.00109325, -0.000146903, -0.000146903, -0.000146903
8756, 1,0.000388394, 0.000382471, 0.000260889, 21.9501, 24.2716, 0.032305, 464.177, -138.325, 0.479019, 0.00101662, 0.000749854, 0.000542153, 45.8973, -15.1153, 0, 0.00101376, 0.00012396, 0.000163567, 2.5507, 1.51557, 0, 0.00101349, 3.11688, -2.83395, 45.0629, 2.06312, -4.71744, -1.89239, -0.00016896, -0.000326326, 0.000740463, 7.09722E-05, 7.09722E-05, 7.09722E-05
8757, 1,0.00118802, 0.000181211, 0.000126617, 78.5642, 11.5021, 0.0304912, 468.814, -144.606, 0.443198, 0.00112154, 0.00135636, 0.000900722, 89.1027, -35.5358, 0, 0.00111869, 0.00102414, 0.000674677, 68.3562, -27.6929, 0, 0.00111855, 6.72804, 10.8241, 89.0553, 6.9477, 8.66133, 67.4697, -0.000412163, -0.000363816, 0.0013525, -0.000284124, -0.000284124, -0.000284124
